epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.5351,0.59066,2.97137,0.00273,0.83955,0.73328,0.83015,0.68708,0.94525,1.86504,0.01632,0.000552888,0.000552888,0.000552888
2,64.0792,0.52274,1.3444,0.00235,0.93539,0.77539,0.87466,0.70515,0.99,1.16426,0.01543,0.00109758,0.00109758,0.00109758
3,88.9814,0.48718,0.73497,0.00218,0.9333,0.75342,0.8539,0.74069,0.85649,1.10725,0.01397,0.00163127,0.00163127,0.00163127
4,113.584,0.48013,0.48449,0.00218,0.95431,0.77788,0.83949,0.73111,0.83599,1.17358,0.01416,0.00161749,0.00161749,0.00161749
5,138.026,0.46423,0.36084,0.00207,0.9683,0.79143,0.84271,0.73418,0.74973,1.20552,0.01221,0.00160099,0.00160099,0.00160099
6,162.464,0.44487,0.31076,0.00196,0.95458,0.79074,0.83952,0.72151,0.85356,1.25848,0.01348,0.00158448,0.00158448,0.00158448
7,186.97,0.42045,0.2571,0.00183,0.9697,0.80094,0.84509,0.73909,0.81551,1.26784,0.01414,0.00156798,0.00156798,0.00156798
8,211.432,0.40821,0.23573,0.00179,0.96961,0.78978,0.83931,0.71654,0.89546,1.31862,0.01531,0.00155148,0.00155148,0.00155148
9,235.948,0.39278,0.22572,0.00172,0.97396,0.79907,0.84381,0.73383,0.83917,1.3112,0.0153,0.00153497,0.00153497,0.00153497
10,260.518,0.37998,0.21344,0.00166,0.98177,0.80049,0.84859,0.73852,0.83155,1.33496,0.01337,0.00151847,0.00151847,0.00151847
11,285.016,0.3792,0.19942,0.00164,0.9813,0.79098,0.83878,0.74127,0.82956,1.36803,0.01529,0.00150197,0.00150197,0.00150197
12,309.529,0.36648,0.20398,0.00157,0.962,0.78131,0.82296,0.73972,0.95375,1.39193,0.01851,0.00148546,0.00148546,0.00148546
13,334.126,0.37183,0.19661,0.0016,0.96217,0.77392,0.82903,0.72289,0.82313,1.48461,0.01307,0.00146896,0.00146896,0.00146896
14,358.715,0.36227,0.18415,0.00159,0.96683,0.79228,0.8389,0.7427,0.8557,1.41574,0.01524,0.00145246,0.00145246,0.00145246
15,383.219,0.35065,0.17494,0.00151,0.97933,0.79998,0.84693,0.74652,0.92218,1.34054,0.01742,0.00143595,0.00143595,0.00143595
16,407.82,0.36906,0.17625,0.0016,0.98663,0.80248,0.84284,0.73133,0.83969,1.39328,0.01447,0.00141945,0.00141945,0.00141945
17,432.334,0.33784,0.15985,0.00146,0.97292,0.80673,0.8373,0.74668,0.9008,1.37986,0.0172,0.00140295,0.00140295,0.00140295
18,456.988,0.34302,0.15947,0.00147,0.98023,0.81374,0.85693,0.73943,0.94356,1.16388,0.01758,0.00138644,0.00138644,0.00138644
19,481.485,0.33336,0.15707,0.00143,0.97364,0.80988,0.84544,0.75226,0.84035,1.38949,0.01512,0.00136994,0.00136994,0.00136994
20,506.052,0.3322,0.1635,0.00141,0.9783,0.81776,0.85455,0.75257,0.93644,1.15835,0.01719,0.00135344,0.00135344,0.00135344
21,530.736,0.32798,0.15902,0.00141,0.97286,0.81072,0.84795,0.74439,0.97253,1.32338,0.01802,0.00133693,0.00133693,0.00133693
22,555.337,0.32148,0.15338,0.00138,0.98218,0.81526,0.84157,0.74716,0.8426,1.43604,0.01566,0.00132043,0.00132043,0.00132043
23,579.935,0.32247,0.14734,0.00139,0.97949,0.81076,0.84579,0.75138,0.89008,1.35434,0.0168,0.00130393,0.00130393,0.00130393
24,604.477,0.32775,0.143,0.0014,0.98895,0.81282,0.84939,0.74718,0.88029,1.38776,0.01629,0.00128742,0.00128742,0.00128742
25,629.137,0.32039,0.1463,0.00139,0.97576,0.80442,0.83949,0.74313,0.85608,1.46296,0.01597,0.00127092,0.00127092,0.00127092
26,653.725,0.31602,0.14205,0.00137,0.97732,0.80256,0.8362,0.74223,0.85145,1.48424,0.01568,0.00125442,0.00125442,0.00125442
27,678.245,0.31351,0.13659,0.00135,0.99103,0.81151,0.83759,0.75268,0.91337,1.42035,0.01696,0.00123791,0.00123791,0.00123791
